Opened,Date,Product,Christmas,Chinese NY,Weeknum
04/04/2022 13:56:49,04/04/2022,SP4,NO,NO,15
04/04/2022 13:57:57,04/04/2022,SP4,NO,NO,15
04/04/2022 13:59:23,04/04/2022,SP4,NO,NO,15
04/04/2022 13:59:49,04/04/2022,SP4,NO,NO,15
04/04/2022 14:00:12,04/04/2022,SP4,NO,NO,15
04/04/2022 14:04:58,04/04/2022,SP4,NO,NO,15
04/04/2022 14:07:34,04/04/2022,SP4,NO,NO,15
04/04/2022 14:08:55,04/04/2022,SP4,NO,NO,15
04/04/2022 14:49:11,04/04/2022,SP4,NO,NO,15
22/06/2022 13:14:02,22/06/2022,SP4,NO,NO,26
22/06/2022 13:14:57,22/06/2022,SP4,NO,NO,26
22/06/2022 13:15:16,22/06/2022,SP4,NO,NO,26
22/06/2022 13:16:16,22/06/2022,SP4,NO,NO,26
22/06/2022 13:16:38,22/06/2022,SP4,NO,NO,26
22/06/2022 13:18:57,22/06/2022,SP4,NO,NO,26
22/06/2022 13:19:27,22/06/2022,SP4,NO,NO,26
22/06/2022 13:27:29,22/06/2022,SP4,NO,NO,26
22/06/2022 13:28:42,22/06/2022,SP4,NO,NO,26
22/06/2022 13:34:10,22/06/2022,SP4,NO,NO,26
22/06/2022 13:34:30,22/06/2022,SP4,NO,NO,26
22/06/2022 14:31:29,22/06/2022,SP4,NO,NO,26
22/06/2022 14:31:47,22/06/2022,SP4,NO,NO,26
22/06/2022 14:32:39,22/06/2022,SP4,NO,NO,26
22/06/2022 14:35:23,22/06/2022,SP4,NO,NO,26
22/06/2022 14:36:48,22/06/2022,SP4,NO,NO,26
22/06/2022 14:37:36,22/06/2022,SP4,NO,NO,26
22/06/2022 14:38:20,22/06/2022,SP4,NO,NO,26
22/06/2022 14:40:43,22/06/2022,SP4,NO,NO,26
22/06/2022 14:41:04,22/06/2022,SP4,NO,NO,26
22/06/2022 14:42:26,22/06/2022,SP4,NO,NO,26
22/06/2022 14:43:09,22/06/2022,SP4,NO,NO,26
22/06/2022 14:46:39,22/06/2022,SP4,NO,NO,26
22/06/2022 14:54:27,22/06/2022,SP4,NO,NO,26
22/06/2022 14:54:57,22/06/2022,SP4,NO,NO,26
